,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region,median_terrace_area,median_garden_area,median_facade,type_num,APARTMENT,BUNGALOW,CASTLE,CHALET,COUNTRY_COTTAGE,DUPLEX,EXCEPTIONAL_PROPERTY,FARMHOUSE,FLAT_STUDIO,GROUND_FLOOR,HOUSE,KOT,LOFT,MANOR_HOUSE,MANSION,OTHER_PROPERTY,PENTHOUSE,SERVICE_FLAT,TOWN_HOUSE,TRIPLEX,VILLA,AS_NEW,GOOD,JUST_RENOVATED,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,BRUXELLES,VLAANDEREN,WALLONIE,ANVERS,BRABANT FLAMAND,BRABANT WALLON,BRUXELLES,FLANDRE-OCCIDENTALE,FLANDRE-ORIENTALE,HAINAUT,LIEGE,LIMBOURG,LUXEMBOURG,NAMUR
16,2560,HOUSE,HOUSE,324000.0,3,196.0,1,0,0,1,11.0,1,30.0,126.0,2.0,0,,Nijlen,Non,NIJLEN,ANVERS,VLAANDEREN,11.0,11.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
17,8000,HOUSE,HOUSE,405000.0,4,166.0,0,0,0,0,,0,,195.0,,0,,Brugge,Non,BRUGGE,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
19,8710,HOUSE,HOUSE,412000.0,3,142.0,1,0,0,1,15.0,0,,389.0,2.0,0,GOOD,Wielsbeke,Non,WIELSBEKE,FLANDRE-OCCIDENTALE,VLAANDEREN,15.0,15.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
20,1325,APARTMENT,DUPLEX,265000.0,2,93.0,1,0,0,1,12.0,0,,,4.0,0,,Chaumont-Gistoux,Non,CHAUMONT-GISTOUX,BRABANT WALLON,WALLONIE,12.0,12.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
21,1330,HOUSE,VILLA,749000.0,9,420.0,1,0,0,1,,0,,1296.0,4.0,0,GOOD,Rixensart,Non,RIXENSART,BRABANT WALLON,WALLONIE,16.0,16.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
22,9120,APARTMENT,APARTMENT,322500.0,2,106.0,1,0,0,1,32.0,0,,,,0,,Beveren-Waas,Non,BEVEREN-WAAS,FLANDRE-ORIENTALE,VLAANDEREN,32.0,32.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
23,9402,APARTMENT,APARTMENT,167990.0,1,60.0,0,0,0,0,,0,,,,0,,Meerbeke,Oui,NINOVE,FLANDRE-ORIENTALE,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
24,2000,APARTMENT,APARTMENT,256000.0,1,80.0,1,0,0,0,,0,,,2.0,0,GOOD,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
25,8310,APARTMENT,GROUND_FLOOR,219000.0,2,92.0,0,0,0,0,,0,,,,0,,Assebroek,Oui,BRUGGE,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
26,4500,APARTMENT,APARTMENT,208000.0,2,90.0,0,0,0,1,10.0,0,,,,0,,Huy,Non,HUY,LIEGE,WALLONIE,10.0,10.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
27,3590,APARTMENT,APARTMENT,221340.0,2,99.0,1,0,0,1,10.0,0,,,,0,AS_NEW,Diepenbeek,Non,DIEPENBEEK,LIMBOURG,VLAANDEREN,10.0,10.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
28,2000,APARTMENT,APARTMENT,235000.0,1,50.0,1,1,0,1,4.0,0,,,2.0,0,AS_NEW,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN,4.0,4.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
29,4987,HOUSE,HOUSE,120000.0,2,120.0,0,0,0,0,,0,,400.0,3.0,0,TO_RESTORE,Stoumont,Non,STOUMONT,LIEGE,WALLONIE,16.0,16.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
30,8800,APARTMENT,PENTHOUSE,120000.0,2,88.0,0,0,0,1,,0,,,2.0,0,GOOD,Roeselare,Non,ROESELARE,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
31,9280,APARTMENT,APARTMENT,230000.0,2,92.0,1,0,0,1,,0,,,,0,AS_NEW,Lebbeke,Non,LEBBEKE,FLANDRE-ORIENTALE,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
32,4500,APARTMENT,APARTMENT,183000.0,2,80.0,0,0,0,1,5.0,0,,,2.0,0,,Huy,Non,HUY,LIEGE,WALLONIE,5.0,5.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
34,1050,APARTMENT,APARTMENT,345000.0,1,65.0,0,1,0,1,7.0,0,,,,0,,Ixelles,Non,IXELLES,BRUXELLES,BRUXELLES,7.0,7.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
36,7700,HOUSE,HOUSE,219000.0,3,115.0,1,0,0,1,17.0,1,134.0,229.0,2.0,0,GOOD,Mouscron,Non,MOUSCRON,HAINAUT,WALLONIE,17.0,17.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
37,4680,HOUSE,HOUSE,429000.0,6,270.0,1,0,1,1,,1,,1724.0,4.0,0,GOOD,Oupeye,Non,OUPEYE,LIEGE,WALLONIE,16.0,200.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
38,9300,APARTMENT,PENTHOUSE,450000.0,1,123.0,0,0,0,0,,0,,,,0,AS_NEW,Aalst,Non,AALST,FLANDRE-ORIENTALE,VLAANDEREN,16.0,16.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
