,location,type,subtype,price,room_number,area,kitchen_equipped,furnished,fireplace,terrace,terrace_area,garden,garden_area,land_surface,facade_count,swimming_pool,building_condition,Commune,Sous_Commune,Commune_Principale,Province,Region,median_terrace_area,median_garden_area,median_facade,type_num,APARTMENT,BUNGALOW,CASTLE,CHALET,COUNTRY_COTTAGE,DUPLEX,EXCEPTIONAL_PROPERTY,FARMHOUSE,FLAT_STUDIO,GROUND_FLOOR,HOUSE,KOT,LOFT,MANOR_HOUSE,MANSION,OTHER_PROPERTY,PENTHOUSE,SERVICE_FLAT,TOWN_HOUSE,TRIPLEX,VILLA,AS_NEW,GOOD,JUST_RENOVATED,TO_BE_DONE_UP,TO_RENOVATE,TO_RESTORE,BRUXELLES,VLAANDEREN,WALLONIE,ANVERS,BRABANT FLAMAND,BRABANT WALLON,BRUXELLES,FLANDRE-OCCIDENTALE,FLANDRE-ORIENTALE,HAINAUT,LIEGE,LIMBOURG,LUXEMBOURG,NAMUR
1030,2610,APARTMENT,APARTMENT,160000.0,2,76.0,1,0,0,0,,0,,,2.0,0,TO_BE_DONE_UP,Wilrijk,Oui,ANTWERPEN,ANVERS,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1031,2580,HOUSE,VILLA,598500.0,3,256.0,1,0,0,0,,0,,3300.0,,0,AS_NEW,Putte,Non,PUTTE,ANVERS,VLAANDEREN,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1032,8870,APARTMENT,APARTMENT,232000.0,2,100.0,0,0,0,1,17.0,0,,,,0,AS_NEW,Izegem,Non,IZEGEM,FLANDRE-OCCIDENTALE,VLAANDEREN,17.0,17.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1033,3300,APARTMENT,PENTHOUSE,480000.0,3,166.0,1,0,0,1,37.0,0,,,,0,AS_NEW,Tienen,Non,TIENEN,BRABANT FLAMAND,VLAANDEREN,37.0,37.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1034,8300,APARTMENT,APARTMENT,1295000.0,3,126.0,0,0,0,0,,0,,,,0,AS_NEW,Knokke,Oui,KNOKKE-HEIST,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1035,8380,APARTMENT,APARTMENT,220000.0,1,65.0,1,0,0,0,,0,,,,0,,Dudzele,Oui,BRUGGE,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1036,8450,APARTMENT,APARTMENT,210000.0,2,79.0,1,0,0,0,,0,,,,0,AS_NEW,Bredene,Non,BREDENE,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1037,7090,APARTMENT,APARTMENT,198000.0,2,86.0,1,0,0,1,27.0,0,,,3.0,0,AS_NEW,Braine-Le-Comte,Non,BRAINE-LE-COMTE,HAINAUT,WALLONIE,27.0,27.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1038,8500,HOUSE,HOUSE,178000.0,3,105.0,1,0,0,1,,0,,80.0,,0,GOOD,Kortrijk,Non,KORTRIJK,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1039,1050,APARTMENT,APARTMENT,249000.0,1,50.0,1,0,0,1,5.0,0,,,2.0,0,JUST_RENOVATED,Ixelles,Non,IXELLES,BRUXELLES,BRUXELLES,5.0,5.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1040,1000,APARTMENT,APARTMENT,253000.0,1,75.0,1,0,0,1,9.0,0,,,,0,AS_NEW,Bruxelles,Non,BRUXELLES,BRUXELLES,BRUXELLES,9.0,9.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1041,1800,HOUSE,HOUSE,299000.0,3,143.0,1,0,1,1,29.0,0,,100.0,1.0,0,JUST_RENOVATED,Vilvoorde,Non,VILVOORDE,BRABANT FLAMAND,VLAANDEREN,29.0,29.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1043,6000,APARTMENT,APARTMENT,118998.0,2,74.0,1,0,0,0,,1,,,3.0,0,JUST_RENOVATED,Charleroi,Non,CHARLEROI,HAINAUT,WALLONIE,16.0,200.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1044,6791,HOUSE,HOUSE,239000.0,4,132.0,0,0,0,1,,0,,116.0,3.0,0,,Athus,Oui,AUBANGE,LUXEMBOURG,WALLONIE,16.0,16.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1047,1060,HOUSE,HOUSE,745000.0,4,192.0,1,0,0,1,12.0,0,,240.0,2.0,0,GOOD,Saint-Gilles,Non,SAINT-GILLES,BRUXELLES,BRUXELLES,12.0,12.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1048,1860,HOUSE,HOUSE,499000.0,4,178.0,1,0,0,1,,1,,555.0,4.0,0,GOOD,Meise,Non,MEISE,BRABANT FLAMAND,VLAANDEREN,16.0,200.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1049,4877,HOUSE,HOUSE,265000.0,3,180.0,0,0,0,0,,1,3500.0,3900.0,3.0,0,,Olne,Non,OLNE,LIEGE,WALLONIE,16.0,16.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1050,3000,APARTMENT,APARTMENT,459000.0,2,104.0,1,0,0,0,,0,,,2.0,0,,Leuven,Non,LEUVEN,BRABANT FLAMAND,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1051,8670,APARTMENT,APARTMENT,320000.0,2,70.0,1,0,0,1,6.0,0,,,,0,GOOD,Koksijde,Non,KOKSIJDE,FLANDRE-OCCIDENTALE,VLAANDEREN,6.0,6.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1052,3640,HOUSE,HOUSE,169000.0,2,115.0,1,0,0,1,13.0,0,,102.0,2.0,0,GOOD,Kinrooi,Non,KINROOI,LIMBOURG,VLAANDEREN,13.0,13.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1053,1332,HOUSE,HOUSE,625000.0,4,220.0,1,0,0,1,40.0,0,,0.0,2.0,0,,Genval,Oui,RIXENSART,BRABANT WALLON,WALLONIE,40.0,40.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1054,6990,HOUSE,HOUSE,275000.0,3,182.0,0,0,0,1,,1,,407.0,3.0,0,,Hotton,Non,HOTTON,LUXEMBOURG,WALLONIE,16.0,200.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1055,6044,HOUSE,HOUSE,199900.0,3,243.0,0,0,0,1,15.0,1,475.0,560.0,3.0,0,,Roux,Oui,CHARLEROI,HAINAUT,WALLONIE,15.0,15.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1056,9991,APARTMENT,APARTMENT,195001.0,2,68.0,1,0,0,0,,0,,,2.0,0,AS_NEW,Adegem,Oui,MALDEGEM,FLANDRE-ORIENTALE,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1057,6141,HOUSE,VILLA,245000.0,3,152.0,1,0,0,1,,0,,1200.0,4.0,0,GOOD,Forchies-La-Marche,Oui,FONTAINE-L'EVÊQUE,HAINAUT,WALLONIE,16.0,16.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1058,1470,APARTMENT,APARTMENT,200000.0,3,80.0,0,0,0,0,,0,,,2.0,0,JUST_RENOVATED,Genappe,Non,GENAPPE,BRABANT WALLON,WALLONIE,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1060,3090,APARTMENT,APARTMENT,239000.0,1,85.0,1,0,0,0,,0,,,3.0,0,GOOD,Overijse,Non,OVERIJSE,BRABANT FLAMAND,VLAANDEREN,16.0,16.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1061,1190,HOUSE,HOUSE,450000.0,5,280.0,1,0,0,1,19.0,1,,86.0,2.0,0,JUST_RENOVATED,Forest,Non,FOREST,BRUXELLES,BRUXELLES,19.0,200.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1062,1490,HOUSE,VILLA,325000.0,3,115.0,1,0,0,1,30.0,1,,635.0,4.0,0,GOOD,Court-Saint-Etienne,Non,COURT-SAINT-ETIENNE,BRABANT WALLON,WALLONIE,30.0,200.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1063,2018,HOUSE,EXCEPTIONAL_PROPERTY,1100000.0,7,350.0,1,0,0,1,40.0,1,40.0,180.0,2.0,0,AS_NEW,Antwerpen,Non,ANTWERPEN,ANVERS,VLAANDEREN,40.0,40.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1064,7700,APARTMENT,APARTMENT,82000.0,1,41.0,1,0,0,0,,0,,,,0,JUST_RENOVATED,Mouscron,Non,MOUSCRON,HAINAUT,WALLONIE,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1065,1420,APARTMENT,APARTMENT,299500.0,2,103.0,1,0,0,1,7.0,0,,,4.0,0,,Braine-L'Alleud,Non,BRAINE-L'ALLEUD,BRABANT WALLON,WALLONIE,7.0,7.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1066,1421,HOUSE,HOUSE,935000.0,6,300.0,1,0,0,1,25.0,1,500.0,1000.0,4.0,0,AS_NEW,Ophain-Bois-Seigneur-Isaac,Oui,BRAINE-L'ALLEUD,BRABANT WALLON,WALLONIE,25.0,25.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1067,1320,HOUSE,HOUSE,499900.0,4,200.0,1,0,0,0,,0,,1492.0,4.0,0,AS_NEW,Beauvechain,Non,BEAUVECHAIN,BRABANT WALLON,WALLONIE,16.0,16.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1068,9830,HOUSE,VILLA,945000.0,3,232.0,1,0,0,0,,1,,1294.0,3.0,0,GOOD,Sint-Martens-Latem,Non,SINT-MARTENS-LATEM,FLANDRE-ORIENTALE,VLAANDEREN,16.0,200.0,3.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1069,1340,HOUSE,HOUSE,285000.0,3,139.0,1,0,0,1,10.0,1,150.0,365.0,3.0,0,TO_RENOVATE,Ottignies,Oui,OTTIGNIES-LOUVAIN-LA-NEUVE,BRABANT WALLON,WALLONIE,10.0,10.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1070,8870,APARTMENT,APARTMENT,253480.0,2,103.0,1,0,0,1,10.0,0,,,,0,,Izegem,Non,IZEGEM,FLANDRE-OCCIDENTALE,VLAANDEREN,10.0,10.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1071,2845,APARTMENT,APARTMENT,189000.0,1,65.0,1,0,0,0,,0,,,,0,AS_NEW,Niel,Non,NIEL,ANVERS,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1072,1440,HOUSE,HOUSE,475000.0,4,170.0,1,0,0,1,24.0,1,300.0,499.0,2.0,0,AS_NEW,Braine-Le-Château,Non,BRAINE-LE-CHÂTEAU,BRABANT WALLON,WALLONIE,24.0,24.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1073,7700,HOUSE,HOUSE,179000.0,3,110.0,1,0,0,1,16.0,1,112.0,172.0,2.0,0,GOOD,Mouscron,Non,MOUSCRON,HAINAUT,WALLONIE,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1074,6700,APARTMENT,APARTMENT,233000.0,2,82.0,1,0,0,1,,0,,,,0,,Arlon,Non,ARLON,LUXEMBOURG,WALLONIE,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1075,2880,HOUSE,HOUSE,389000.0,3,191.0,0,0,0,1,,1,78.0,162.0,,0,,Bornem,Non,BORNEM,ANVERS,VLAANDEREN,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1076,6780,HOUSE,HOUSE,219000.0,2,170.0,0,0,0,1,,0,,740.0,,0,,Messancy,Non,MESSANCY,LUXEMBOURG,WALLONIE,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1077,8780,HOUSE,HOUSE,675000.0,3,285.0,1,0,0,0,,1,,1076.0,4.0,0,,Oostrozebeke,Non,OOSTROZEBEKE,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,200.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1078,3500,APARTMENT,APARTMENT,1200000.0,2,190.0,1,0,0,1,22.0,1,,,,0,,Hasselt,Non,HASSELT,LIMBOURG,VLAANDEREN,22.0,200.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1079,9000,APARTMENT,APARTMENT,424000.0,2,96.0,1,0,0,1,20.0,0,,,2.0,0,AS_NEW,Gent,Non,GENT,FLANDRE-ORIENTALE,VLAANDEREN,20.0,20.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1080,8450,HOUSE,HOUSE,229000.0,3,86.0,0,0,0,0,,0,,124.0,2.0,0,AS_NEW,Bredene,Non,BREDENE,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1081,1030,APARTMENT,APARTMENT,225000.0,3,100.0,1,0,0,1,3.0,0,,,2.0,0,TO_BE_DONE_UP,Schaerbeek,Non,SCHAERBEEK,BRUXELLES,BRUXELLES,3.0,3.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1082,4680,HOUSE,HOUSE,130000.0,2,111.0,1,0,0,1,20.0,1,170.0,268.0,3.0,0,TO_BE_DONE_UP,Oupeye,Non,OUPEYE,LIEGE,WALLONIE,20.0,20.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1083,2880,HOUSE,HOUSE,645000.0,5,210.0,1,0,0,0,,0,,1361.0,,0,,Bornem,Non,BORNEM,ANVERS,VLAANDEREN,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1084,8620,APARTMENT,APARTMENT,195000.0,1,37.0,0,0,0,1,,0,,,,0,AS_NEW,Nieuwpoort,Non,NIEUWPOORT,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1085,9040,APARTMENT,APARTMENT,295000.0,2,72.0,1,0,0,1,6.0,1,700.0,,4.0,0,,Sint-Amandsberg,Oui,GENT,FLANDRE-ORIENTALE,VLAANDEREN,6.0,6.0,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1087,9800,APARTMENT,APARTMENT,220000.0,1,75.0,1,0,0,1,8.0,1,,,,0,AS_NEW,Deinze,Non,DEINZE,FLANDRE-ORIENTALE,VLAANDEREN,8.0,200.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1088,3060,APARTMENT,APARTMENT,262950.0,1,78.0,1,0,0,0,,1,140.0,,2.0,0,AS_NEW,Bertem,Non,BERTEM,BRABANT FLAMAND,VLAANDEREN,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1089,8800,APARTMENT,DUPLEX,219000.0,2,118.0,1,0,0,0,,0,,,2.0,0,GOOD,Roeselare,Non,ROESELARE,FLANDRE-OCCIDENTALE,VLAANDEREN,16.0,16.0,2.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1090,9870,HOUSE,HOUSE,104000.0,3,60.0,1,0,0,1,,1,,163.0,1.0,0,TO_RENOVATE,Zulte,Non,ZULTE,FLANDRE-ORIENTALE,VLAANDEREN,16.0,200.0,1.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1092,1150,APARTMENT,GROUND_FLOOR,390000.0,2,99.0,1,0,0,1,10.0,1,95.0,,3.0,0,GOOD,Woluwe-Saint-Pierre,Non,WOLUWE-SAINT-PIERRE,BRUXELLES,BRUXELLES,10.0,10.0,3.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1093,7340,APARTMENT,APARTMENT,95000.0,2,105.0,0,0,0,0,,0,,,3.0,0,AS_NEW,Colfontaine,Non,COLFONTAINE,HAINAUT,WALLONIE,16.0,16.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1094,2800,HOUSE,HOUSE,608660.0,4,234.0,1,0,0,1,16.0,1,121.0,257.0,,0,,Mechelen,Non,MECHELEN,ANVERS,VLAANDEREN,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
1095,5000,APARTMENT,APARTMENT,285000.0,2,98.0,1,0,0,1,23.0,1,50.0,,2.0,0,AS_NEW,Namur,Non,NAMUR,NAMUR,WALLONIE,23.0,23.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1096,3940,HOUSE,HOUSE,315000.0,0,211.0,1,0,0,1,15.0,1,2.0,1000.0,4.0,0,TO_BE_DONE_UP,Hechtel,Oui,HECHTEL-EKSEL,LIMBOURG,VLAANDEREN,15.0,15.0,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1097,8800,HOUSE,VILLA,599000.0,4,311.0,1,0,0,1,30.0,1,,722.0,,0,GOOD,Roeselare,Non,ROESELARE,FLANDRE-OCCIDENTALE,VLAANDEREN,30.0,200.0,2.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1098,9000,APARTMENT,APARTMENT,445543.0,3,118.0,1,0,0,1,18.0,0,,,3.0,0,AS_NEW,Gent,Non,GENT,FLANDRE-ORIENTALE,VLAANDEREN,18.0,18.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1099,9050,HOUSE,HOUSE,265000.0,5,133.0,0,0,0,0,,0,,100.0,2.0,0,TO_BE_DONE_UP,Gentbrugge,Oui,GENT,FLANDRE-ORIENTALE,VLAANDEREN,16.0,16.0,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
1100,4987,HOUSE,VILLA,435000.0,3,345.0,1,0,0,1,80.0,1,8412.0,8412.0,4.0,0,TO_RENOVATE,Stoumont,Non,STOUMONT,LIEGE,WALLONIE,80.0,80.0,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1101,1800,APARTMENT,APARTMENT,325000.0,2,80.0,1,0,0,1,7.0,0,,,,0,AS_NEW,Vilvoorde,Non,VILVOORDE,BRABANT FLAMAND,VLAANDEREN,7.0,7.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1102,1332,APARTMENT,APARTMENT,875000.0,3,211.0,1,0,0,1,,0,,,,0,AS_NEW,Genval,Oui,RIXENSART,BRABANT WALLON,WALLONIE,16.0,16.0,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1103,4000,APARTMENT,PENTHOUSE,185000.0,2,80.0,1,0,0,1,24.0,0,,,,0,GOOD,Liège,Non,LIÈGE,LIEGE,WALLONIE,24.0,24.0,2.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1104,7830,HOUSE,HOUSE,249000.0,3,144.0,1,0,0,1,24.0,1,,638.0,3.0,0,GOOD,Silly,Non,SILLY,HAINAUT,WALLONIE,24.0,200.0,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1105,8300,HOUSE,EXCEPTIONAL_PROPERTY,699000.0,3,135.0,1,0,0,1,4.0,0,,45.0,2.0,0,GOOD,Knokke,Oui,KNOKKE-HEIST,FLANDRE-OCCIDENTALE,VLAANDEREN,4.0,4.0,2.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
